occupantID,zoneID,occupantName,occupantRole,comfortPreference
O0001,Z720,Natasha Greer,Admin,77.9
O0002,Z720,Isabel Osborn,Visitor,70.8
O0003,Z720,William Carlson,Employee,70.0
O0004,Z530,Sabrina Robbins,Director,77.6
O0005,Z530,Amanda King,Guest,76.0
O0006,Z530,Lauren Beltran,Analyst,70.3
O0007,Z530,Cynthia Walker,Director,71.2
O0008,Z530,Terri Gutierrez,Coordinator,77.8
O0009,Z530,Jessica Stanton,Director,77.6
O0010,Z530,Bethany Hartman,Director,72.3
O0011,Z530,Michael Myers,Visitor,72.9
O0012,Z530,Mark Greer,Analyst,74.7
O0013,Z530,Julie Sampson,Visitor,74.4
O0014,Z530,Eric Diaz,Admin,75.5
O0015,Z530,Kenneth Smith,Executive,70.7
O0016,Z140,Andrew Petty,Manager,75.6
O0017,Z798,Steven Bowman,Visitor,76.1
O0018,Z798,Susan Walker,Visitor,73.0
O0019,Z798,Eric Schneider,Analyst,74.0
O0020,Z798,Rachel Wallace,Analyst,69.3
O0021,Z798,Joseph Graham,Engineer,76.8
O0022,Z798,Rebecca Brooks,Engineer,73.1
O0023,Z798,Dustin Weiss,Admin,76.3
O0024,Z798,Katherine Evans,Employee,71.0
O0025,Z798,Pam Castillo,Guest,73.7
O0026,Z798,Taylor Moon,Technician,76.5
O0027,Z798,Cindy Johnson,Guest,77.8
O0028,Z798,Rachel Sullivan,Technician,72.3
O0029,Z798,David Moore,Director,73.8
O0030,Z798,Michael Brewer,Contractor,69.2
O0031,Z931,Matthew Robinson,Employee,72.1
O0032,Z931,Danielle Beasley DVM,Guest,76.1
O0033,Z931,Wyatt Davidson,Analyst,72.9
O0034,Z931,Susan Jones,Specialist,68.6
O0035,Z931,Gloria Frazier,Analyst,73.7
O0036,Z931,Jeremy Hampton,Admin,69.4
O0037,Z931,Holly Erickson,Admin,69.4
O0038,Z931,David Nelson,Coordinator,75.6
O0039,Z931,Katelyn Jones,Analyst,73.8
O0040,Z931,John Price,Analyst,73.3
O0041,Z931,Shannon Macias,Employee,76.1
O0042,Z931,Taylor Dominguez,Admin,70.0
O0043,Z931,Nathan Smith,Manager,76.6
O0044,Z910,Erica Johnson,Employee,68.3
O0045,Z910,Kevin Richardson,Specialist,72.7
O0046,Z554,Michael Williams,Coordinator,76.8
