id,personID,name,skillType,hourlyRate
person_0,EMP-8000,Robin Anderson,CraneOperator,92.18
person_1,EMP-8001,Robert Jackson,DataCenterArchitect,58.48
person_2,EMP-8002,Benjamin May,WeldingTech,84.97
person_3,EMP-8003,Crystal Roth,Rigger,16.27
person_4,EMP-8004,Lindsay Watson,SecurityTech,52.52
person_5,EMP-8005,Jasmine Phillips,HVACTech,48.43
person_6,EMP-8006,Andrew Duke MD,FireProtectionTech,23.2
person_7,EMP-8007,Denise Johnson,CivilEngineer,46.73
person_8,EMP-8008,Andrew Baker,Plumber,92.95
person_9,EMP-8009,Taylor Maxwell,Carpenter,50.56
person_10,EMP-8010,Samantha Cooper,LandscapeTech,54.28
person_11,EMP-8011,Erin Coleman,NetworkEngineer,19.22
person_12,EMP-8012,Michael Bond,RoboticsTech,82.23
person_13,EMP-8013,Andrea Wilson,RoboticsTech,59.64
person_14,EMP-8014,Michael Porter,ProjectManager,88.5
person_15,EMP-8015,Michelle Pierce,ElectricPanelInstaller,98.99
person_16,EMP-8016,Rachael Green,Mason,84.28
person_17,EMP-8017,Mike Harvey,SysAdmin,38.23
person_18,EMP-8018,David Thompson,SitePlanner,75.6
person_19,EMP-8019,Mr. Kevin Harper,DataCenterArchitect,75.47
person_20,EMP-8020,Jennifer Fields,Electrician,32.47
person_21,EMP-8021,David Rose,Painter,25.28
person_22,EMP-8022,Lynn Todd,RoboticsTech,34.42
person_23,EMP-8023,Michael Quinn,Carpenter,10.75
person_24,EMP-8024,Brett Wiggins,CraneOperator,88.31
person_25,EMP-8025,Laura Davidson,CraneOperator,26.74
person_26,EMP-8026,Stephanie Dean,StructuralEngineer,78.4
person_27,EMP-8027,Robert Wilson,Plumber,52.32
person_28,EMP-8028,Lori Roy,ConcreteSpecialist,68.54
person_29,EMP-8029,Michael Gonzalez,LandscapeTech,73.14
person_30,EMP-8030,Kimberly Hodge,LandscapeTech,23.66
person_31,EMP-8031,Brett Woods,SecurityTech,39.01
person_32,EMP-8032,Nicole Roberts,RoboticsTech,13.47
person_33,EMP-8033,Jay Obrien,HeatVentEngineer,19.89
person_34,EMP-8034,Stacy Dixon PhD,Surveyor,31.44
person_35,EMP-8035,Dylan Harrison PhD,FireProtectionTech,26.88
person_36,EMP-8036,Richard Barnes,InsulationWorker,49.82
person_37,EMP-8037,Jacqueline Kramer,Surveyor,74.61
person_38,EMP-8038,Annette Carter,IronWorker,48.23
person_39,EMP-8039,Monica Ray,IronWorker,52.99
person_40,EMP-8040,Roy Stein,ConcreteSpecialist,41.34
person_41,EMP-8041,Kristen Griffith,Mason,32.64
person_42,EMP-8042,Carolyn Thompson,InsulationWorker,91.15
person_43,EMP-8043,Jerome Diaz,Plumber,69.5
person_44,EMP-8044,Susan Johns,InstrumentationTech,57.26
person_45,EMP-8045,Carlos Robles,Rigger,87.76
person_46,EMP-8046,Eric Taylor,ITIntegrationTech,74.16
person_47,EMP-8047,Tammy Robertson,WeldingTech,80.85
person_48,EMP-8048,Crystal King,InsulationWorker,37.0
person_49,EMP-8049,Anthony Martin,CivilEngineer,74.44
person_50,EMP-8050,Shaun Gutierrez,Electrician,35.11
person_51,EMP-8051,Jason Armstrong,NetworkEngineer,99.65
person_52,EMP-8052,Emily Thompson,ITIntegrationTech,80.77
person_53,EMP-8053,Andrew Jimenez,RoboticsTech,15.78
person_54,EMP-8054,Kirsten Burke,ConcreteSpecialist,43.53
person_55,EMP-8055,Carmen Reese,CoolingSystemTech,68.19
person_56,EMP-8056,Jesus Johnson,StructuralEngineer,89.13
person_57,EMP-8057,Jeff Roth,SecurityTech,49.54
person_58,EMP-8058,Jennifer Smith,HVACTech,55.2
person_59,EMP-8059,Antonio Ashley,FireProtectionTech,82.42
person_60,EMP-8060,Suzanne Contreras MD,SitePlanner,56.37
person_61,EMP-8061,Travis Miller,ElectricPanelInstaller,73.56
person_62,EMP-8062,Melissa House,Plumber,20.47
person_63,EMP-8063,Elizabeth Fernandez,ITIntegrationTech,38.22
person_64,EMP-8064,Alexandra Fox,Electrician,29.68
person_65,EMP-8065,Thomas Torres,CableInstaller,38.0
person_66,EMP-8066,Dr. Daniel Barker,ITIntegrationTech,47.0
person_67,EMP-8067,Shawn Mack,NetworkEngineer,10.92
person_68,EMP-8068,Adam Nelson,InsulationWorker,67.46
person_69,EMP-8069,Andrew Sharp,InsulationWorker,90.01
person_70,EMP-8070,Michael Vargas,DataCenterArchitect,19.66
person_71,EMP-8071,Paula Spencer,HVACTech,78.69
person_72,EMP-8072,Kyle Smith,PowerDistEngineer,50.07
person_73,EMP-8073,Anthony Jones,CraneOperator,26.09
person_74,EMP-8074,Justin Chapman,CraneOperator,13.43
person_75,EMP-8075,Cory Bell,Mason,61.01
person_76,EMP-8076,Julia Howell,Plumber,36.48
person_77,EMP-8077,Randy Brown,CivilEngineer,32.01
person_78,EMP-8078,Walter Hansen,Surveyor,93.81
person_79,EMP-8079,Lisa Powell,CableInstaller,62.52
person_80,EMP-8080,Jeremy Herrera,InstrumentationTech,82.83
person_81,EMP-8081,Jacob Lopez,Carpenter,72.53
person_82,EMP-8082,Kelli Weber,Painter,73.41
person_83,EMP-8083,James Macias,RoboticsTech,80.96
person_84,EMP-8084,Katie Bell,FireProtectionTech,54.83
person_85,EMP-8085,Lauren Park,InstrumentationTech,25.41
person_86,EMP-8086,Brandon Gilbert,InstrumentationTech,93.51
person_87,EMP-8087,Sean Dunlap,ProjectManager,82.22
person_88,EMP-8088,Joseph Grant,Surveyor,12.06
person_89,EMP-8089,William Dudley,NetworkEngineer,43.15
person_90,EMP-8090,Christina Berg,SysAdmin,79.88
person_91,EMP-8091,Joy Johnson,ProjectManager,38.63
person_92,EMP-8092,Timothy Wright,RoboticsTech,17.67
person_93,EMP-8093,Kathy Cohen,ConcreteSpecialist,97.24
person_94,EMP-8094,Ivan Love,InstrumentationTech,58.64
person_95,EMP-8095,Jennifer Santiago,CraneOperator,95.08
person_96,EMP-8096,Megan Chaney,WeldingTech,69.45
person_97,EMP-8097,Matthew Best,GeotechEngineer,10.55
person_98,EMP-8098,Jason Cross,ITIntegrationTech,97.89
person_99,EMP-8099,Shannon Mccoy,Electrician,68.69
person_100,EMP-8100,Kenneth Benitez,IronWorker,37.15
person_101,EMP-8101,Tanya Thompson,FireProtectionTech,46.15
person_102,EMP-8102,Maria Parks,SysAdmin,59.7
person_103,EMP-8103,David Barnes,NetworkEngineer,54.16
person_104,EMP-8104,Zachary Gregory,SitePlanner,99.4
person_105,EMP-8105,Mike Hicks,IronWorker,68.99
person_106,EMP-8106,Mr. Robert Byrd,SteelWorker,72.2
person_107,EMP-8107,Mrs. Vanessa Thompson DVM,PowerDistEngineer,50.17
person_108,EMP-8108,Brian Ingram,SafetyEngineer,34.81
person_109,EMP-8109,David Lewis,PowerDistEngineer,80.75
person_110,EMP-8110,Brian Torres,ConcreteSpecialist,63.98
person_111,EMP-8111,Sonya Jones DVM,CraneOperator,53.14
person_112,EMP-8112,Terry Silva,NetworkEngineer,75.42
person_113,EMP-8113,Andrew Fuentes,CraneOperator,39.23
person_114,EMP-8114,Jeffrey Robbins,InstrumentationTech,10.17
person_115,EMP-8115,Pamela Lloyd,CableInstaller,60.07
person_116,EMP-8116,Benjamin Mccoy,CableInstaller,36.44
person_117,EMP-8117,Raymond Conway,InsulationWorker,28.07
person_118,EMP-8118,Peter Young,CraneOperator,52.55
