id,operatorName,skillLevel,hireDate
operator_0,Joshua Hoover,Expert,2021-09-29
operator_1,Kelly Pitts,Intermediate,2021-10-07
operator_2,Bradley Jennings,Expert,2022-02-12
operator_3,Diane Mckee,Expert,2020-03-10
operator_4,Jessica Beard,Expert,2021-05-15
operator_5,Katherine Robinson,Beginner,2022-06-07
operator_6,Alexander Hale,Intermediate,2023-06-01
operator_7,Traci White,Expert,2023-05-01
operator_8,Tiffany Peterson,Expert,2022-05-20
operator_9,Tracy Pham,Beginner,2022-09-14
operator_10,Joyce Carter,Intermediate,2020-08-17
operator_11,Anthony Knight,Beginner,2020-05-29
operator_12,Robert Mckee,Beginner,2020-07-26
operator_13,Richard Young,Intermediate,2024-06-25
operator_14,Katherine Mueller,Beginner,2020-12-17
operator_15,Dr. Thomas Williams,Beginner,2024-08-18
operator_16,Joseph Wade,Expert,2024-12-03
operator_17,Allison Walker,Intermediate,2021-05-02
operator_18,Alicia Gibson,Intermediate,2020-10-30
operator_19,Stephanie Johnson,Intermediate,2023-09-29
operator_20,Michael Berry,Intermediate,2021-01-24
operator_21,Austin Johnson,Expert,2020-05-12
operator_22,Robert Gutierrez,Beginner,2020-09-09
operator_23,Autumn Hayden,Intermediate,2023-06-25
operator_24,Sheryl Davis,Intermediate,2022-02-01
operator_25,Douglas Hill,Expert,2023-01-12
operator_26,Robert Combs,Intermediate,2023-03-05
operator_27,Austin Herring,Beginner,2021-12-19
operator_28,Jennifer Chavez,Intermediate,2024-10-07
operator_29,Paul Roberts MD,Beginner,2022-11-19
operator_30,Rita Coleman,Intermediate,2021-05-03
operator_31,Preston Kim,Expert,2023-04-22
operator_32,Regina Bennett,Expert,2020-12-29
operator_33,Charles Ellis,Intermediate,2023-02-08
operator_34,Michaela Russell,Expert,2021-06-20
operator_35,Karl Harrell,Expert,2023-11-10
operator_36,Linda Ryan,Intermediate,2020-05-19
operator_37,Samantha Villegas,Beginner,2023-09-25
operator_38,Regina Obrien,Expert,2022-12-30
operator_39,Katherine Taylor,Expert,2025-01-29
