id,personID,name,skillType,hourlyRate
person_0,EMP-5000,Andrea Gilbert,LandscapeTech,87.61
person_1,EMP-5001,Jacqueline Huffman,ConcreteSpecialist,28.92
person_2,EMP-5002,Monique Johnson,CivilEngineer,73.38
person_3,EMP-5003,Daniel Weaver,ProjectManager,70.24
person_4,EMP-5004,Brittany Malone,PowerDistEngineer,73.65
person_5,EMP-5005,Taylor Davis,CraneOperator,98.6
person_6,EMP-5006,John Lee,RoboticsTech,65.49
person_7,EMP-5007,Pedro Kim,WeldingTech,69.14
person_8,EMP-5008,Melissa Rodriguez,InstrumentationTech,33.62
person_9,EMP-5009,Joseph Bentley,ConcreteSpecialist,23.73
person_10,EMP-5010,Tina Sanchez,HVACTech,29.64
person_11,EMP-5011,Mark Wagner,WeldingTech,63.14
person_12,EMP-5012,Sophia Hicks,BackupSysEngineer,13.95
person_13,EMP-5013,David Davis,DataCenterArchitect,99.97
person_14,EMP-5014,Ann Henry,SecurityTech,47.98
person_15,EMP-5015,Monique Bush,DataCenterArchitect,61.01
person_16,EMP-5016,Jose Dixon DDS,SitePlanner,34.93
person_17,EMP-5017,Dawn Scott,WeldingTech,89.28
person_18,EMP-5018,Stephanie Reyes,HeatVentEngineer,25.38
person_19,EMP-5019,Monica Mcdowell,CoolingSystemTech,65.34
person_20,EMP-5020,Rachel Price,HVACTech,27.62
person_21,EMP-5021,Marilyn Soto,ProjectManager,90.1
person_22,EMP-5022,Brandon Armstrong,SteelWorker,89.59
person_23,EMP-5023,Christian Weaver,Carpenter,85.43
person_24,EMP-5024,Michelle Graham,Painter,27.62
person_25,EMP-5025,Megan Watson,SafetyEngineer,61.29
person_26,EMP-5026,Mark Burke,ITIntegrationTech,40.87
person_27,EMP-5027,Ann Clark,Plumber,57.9
person_28,EMP-5028,John Peters,HeatVentEngineer,92.9
person_29,EMP-5029,Jill Bradford,CivilEngineer,62.1
person_30,EMP-5030,Patricia Richard,InstrumentationTech,43.83
person_31,EMP-5031,Vincent Smith,SitePlanner,87.27
person_32,EMP-5032,Rebecca Richards,CraneOperator,86.35
person_33,EMP-5033,Lori Johnson,Surveyor,92.45
person_34,EMP-5034,Nicole Rocha,FireProtectionTech,52.26
person_35,EMP-5035,Madison Delgado DDS,ConcreteSpecialist,76.48
person_36,EMP-5036,Karen Moreno,SysAdmin,55.15
person_37,EMP-5037,Bonnie Lewis,PowerDistEngineer,92.47
person_38,EMP-5038,Alex Lopez,CraneOperator,40.26
person_39,EMP-5039,Denise Todd,LandscapeTech,49.23
person_40,EMP-5040,Heather Black,SysAdmin,64.6
person_41,EMP-5041,Amanda Coleman,WeldingTech,47.07
person_42,EMP-5042,Madison Gentry,InsulationWorker,76.27
person_43,EMP-5043,Caroline Rogers,GeotechEngineer,83.75
person_44,EMP-5044,Jose Stevens,Mason,56.91
person_45,EMP-5045,Sarah Wise,Painter,36.42
person_46,EMP-5046,Alexander Le,Painter,23.25
person_47,EMP-5047,Brandon Banks,IronWorker,87.44
person_48,EMP-5048,Elizabeth Moyer,InstrumentationTech,98.16
person_49,EMP-5049,Robin Smith,BackupSysEngineer,75.86
person_50,EMP-5050,Terry Johnson,HeatVentEngineer,55.4
person_51,EMP-5051,Amy Davis,SitePlanner,53.76
person_52,EMP-5052,Jennifer Page,BackupSysEngineer,19.67
person_53,EMP-5053,Daniel Jimenez,HVACTech,84.65
person_54,EMP-5054,Michelle Salinas,ElectricPanelInstaller,38.48
person_55,EMP-5055,Robert Patel,SysAdmin,19.71
person_56,EMP-5056,Melinda Moore,CableInstaller,11.5
person_57,EMP-5057,Jennifer Davis,SecurityTech,95.27
person_58,EMP-5058,Michelle Oliver,CableInstaller,25.03
person_59,EMP-5059,Joshua Benson,CivilEngineer,31.74
