id,name,birthDate
actor_0,Mrs. Lisa Donovan,1979-09-27
actor_1,Heidi White,1980-02-28
actor_2,Shelby Huber,1997-03-29
actor_3,Michelle Lin DDS,2019-11-05
actor_4,Amanda Howard,1925-09-22
actor_5,Gabriel Martinez,1972-09-11
actor_6,Mark Rodriguez,2011-09-25
actor_7,Barbara Hernandez,1995-06-09
actor_8,Mark Thompson,1996-03-25
actor_9,Joseph Delgado,2002-03-15
actor_10,Michael Williams,1950-10-01
actor_11,Timothy Anderson,1969-05-09
actor_12,Justin Warren III,1975-07-15
actor_13,Stephanie Shelton,1934-11-25
actor_14,Amy Bautista,1994-06-13
actor_15,Rita Crawford,1940-11-13
actor_16,Sharon Blair,1997-05-22
actor_17,Samuel Juarez,1967-08-02
actor_18,Jennifer Bush MD,1919-04-29
actor_19,Joseph Williams,2020-12-21
actor_20,Brianna Howell,1952-02-08
actor_21,Andrew Brady,1955-10-02
actor_22,Jeremy Holloway,1919-06-09
actor_23,Amber Henry,1981-08-31
actor_24,Ann Cline,2016-01-01
actor_25,Marvin Murillo,2010-04-14
actor_26,Maria Keith,1989-04-16
actor_27,Amanda Mckenzie,1917-05-27
actor_28,Sierra Lynch,1934-11-29
actor_29,Alison Novak,1975-06-19
actor_30,Chelsea Kline,1910-06-04
actor_31,Logan Powell,2002-09-04
actor_32,Rebecca Smith,1946-06-04
actor_33,Sarah Logan,1953-10-19
actor_34,Kendra Mills,1955-11-06
actor_35,Gabrielle Howe,2023-10-02
actor_36,Amanda Dennis,2002-05-02
actor_37,Anthony Davis,1991-03-15
actor_38,Jacob Mcpherson,1950-09-05
actor_39,Charles Yates,1928-05-24
actor_40,Gregory Reilly,2002-07-07
actor_41,Jamie Bennett,1955-02-03
actor_42,Michael Hernandez,1913-05-07
actor_43,Jesse Brown,1981-02-21
actor_44,Cynthia Jones,1969-09-07
actor_45,Stephanie Arellano,1954-06-11
actor_46,James Brown,1911-08-18
actor_47,Sandra Smith,1970-06-10
actor_48,Courtney Alexander,1933-09-21
actor_49,Erika Dunn,1995-11-02
actor_50,John Baker,1914-08-05
actor_51,Amber Roy,1985-11-13
actor_52,Benjamin Brown,1993-04-06
actor_53,Susan Mcconnell,1980-01-10
actor_54,Danielle Faulkner,1994-12-20
actor_55,Kristen Bennett,1995-04-19
actor_56,Jose Hicks,2002-10-15
actor_57,Dawn Melton,1924-12-22
actor_58,Robert Stokes,1934-05-27
actor_59,Brenda Austin,1996-09-09
actor_60,Robin Peters,1967-09-08
actor_61,Benjamin Glenn,1972-05-23
actor_62,Crystal Murillo,1948-01-28
actor_63,Chad Ramirez,2009-09-21
actor_64,Ryan Davis,1983-03-13
actor_65,Benjamin Williams,1932-09-05
actor_66,Holly Mathews,1911-03-24
actor_67,Thomas Garner,1997-06-14
actor_68,Nancy Torres,1948-10-03
actor_69,Andrew Lewis,1956-11-06
actor_70,Joseph Coleman,1957-08-14
actor_71,Darlene Marshall,2014-03-13
actor_72,Melanie Riley,1944-09-07
actor_73,Christopher Williams,1986-06-07
actor_74,Molly Daniels,1996-04-03
