id,name,birthDate
director_0,Carl Reyes,2005-04-04
director_1,Jamie Daugherty,1976-12-13
director_2,Douglas Ballard,1941-09-13
director_3,Lisa Howard,1989-09-13
director_4,Shelby Miller,1948-05-29
director_5,Austin Pacheco,1969-07-12
director_6,Thomas Fowler,2010-02-10
director_7,Caitlin Brown,1961-02-04
director_8,Gregory Brown,2013-06-28
director_9,Jason Ball,1928-06-17
director_10,Peter Wolfe,1935-04-12
director_11,Leah Owens,1975-09-07
director_12,Melissa Larsen,1910-07-21
director_13,Eric Luna,2007-09-01
director_14,Jennifer Jefferson,2014-03-01
director_15,Michelle Rivera,1916-08-26
director_16,Mark Allen,1994-04-04
director_17,Juan Zamora,2020-01-16
director_18,Brian Spence,1973-10-29
director_19,Joseph Brewer,1981-10-08
director_20,Jesse Whitney,1948-07-19
director_21,Lynn Mendoza,2013-12-03
director_22,Angela Smith,1988-09-14
director_23,Karen Mitchell,1972-06-25
director_24,Donna Branch,2005-08-02
director_25,Miss Shelia Garcia,1988-04-22
director_26,Carlos Drake,1989-07-23
director_27,Adam Fuller,1957-08-24
director_28,Mr. Jeffrey Manning,2019-07-27
director_29,Krista Lopez,1926-09-05
director_30,Shelby Morales,1951-08-12
director_31,Ann Humphrey,2021-04-17
director_32,Crystal Pace,1921-11-17
director_33,Amanda Key,1980-04-08
director_34,Christopher Wagner,1979-08-03
