id,portfolioID,portfolioName,investorID
port_0,PORT-0,Kaitlin Duke's Portfolio,inv_11
port_1,PORT-1,Melissa Johnson's Portfolio,inv_2
port_2,PORT-2,Mary Norman's Portfolio,inv_20
port_3,PORT-3,Mary Norman's Portfolio,inv_20
port_4,PORT-4,Cory King's Portfolio,inv_8
port_5,PORT-5,Amy Bates's Portfolio,inv_22
port_6,PORT-6,Kristy Jones's Portfolio,inv_1
port_7,PORT-7,Julian Robinson's Portfolio,inv_19
port_8,PORT-8,Brian Frederick's Portfolio,inv_29
port_9,PORT-9,Melissa Johnson's Portfolio,inv_2
port_10,PORT-10,Jerry Anderson's Portfolio,inv_21
port_11,PORT-11,Julian Robinson's Portfolio,inv_19
port_12,PORT-12,Sara Hoffman's Portfolio,inv_10
port_13,PORT-13,Brian Frederick's Portfolio,inv_29
port_14,PORT-14,Cassandra Stuart's Portfolio,inv_26
port_15,PORT-15,Beverly Smith's Portfolio,inv_4
port_16,PORT-16,Chris Weaver's Portfolio,inv_17
port_17,PORT-17,Mary Norman's Portfolio,inv_20
port_18,PORT-18,Chris Weaver's Portfolio,inv_17
port_19,PORT-19,Caitlin Moreno's Portfolio,inv_3
port_20,PORT-20,Brian Frederick's Portfolio,inv_29
port_21,PORT-21,Amy Bates's Portfolio,inv_22
port_22,PORT-22,Cory King's Portfolio,inv_8
port_23,PORT-23,Caitlin Moreno's Portfolio,inv_3
port_24,PORT-24,Scott Stone's Portfolio,inv_5
port_25,PORT-25,Jeffrey Nixon's Portfolio,inv_15
port_26,PORT-26,Heather Henry's Portfolio,inv_12
port_27,PORT-27,Mary Murphy's Portfolio,inv_13
port_28,PORT-28,Joshua Grant's Portfolio,inv_9
port_29,PORT-29,Sara Hoffman's Portfolio,inv_10
port_30,PORT-30,Kaitlin Duke's Portfolio,inv_11
port_31,PORT-31,Cassandra Stuart's Portfolio,inv_26
port_32,PORT-32,Melanie Robinson's Portfolio,inv_16
port_33,PORT-33,Jerry Anderson's Portfolio,inv_21
port_34,PORT-34,Kristy Jones's Portfolio,inv_1
port_35,PORT-35,Scott Stone's Portfolio,inv_5
port_36,PORT-36,Bryan Heath's Portfolio,inv_28
port_37,PORT-37,Mary Norman's Portfolio,inv_20
port_38,PORT-38,Caitlin Moreno's Portfolio,inv_3
port_39,PORT-39,Cory King's Portfolio,inv_8
