id,investorName,investorType
inv_0,Christopher Sanchez,Retail
inv_1,Kristy Jones,Retail
inv_2,Melissa Johnson,Institutional
inv_3,Caitlin Moreno,Retail
inv_4,Beverly Smith,Institutional
inv_5,Scott Stone,Retail
inv_6,Chelsea Abbott,Institutional
inv_7,Sara Howard,Retail
inv_8,Cory King,Institutional
inv_9,Joshua Grant,Retail
inv_10,Sara Hoffman,Retail
inv_11,Kaitlin Duke,Institutional
inv_12,Heather Henry,Institutional
inv_13,Mary Murphy,Retail
inv_14,Melinda White,Retail
inv_15,Jeffrey Nixon,Retail
inv_16,Melanie Robinson,Retail
inv_17,Chris Weaver,Retail
inv_18,Gary Sanders,Institutional
inv_19,Julian Robinson,Institutional
inv_20,Mary Norman,Institutional
inv_21,Jerry Anderson,Retail
inv_22,Amy Bates,Retail
inv_23,Karen Nguyen,Institutional
inv_24,Connie Vargas,Institutional
inv_25,Julie Morris,Institutional
inv_26,Cassandra Stuart,Institutional
inv_27,Gene Dawson,Institutional
inv_28,Bryan Heath,Retail
inv_29,Brian Frederick,Retail
