id,name,licenseID,experienceYears
underwriter_0,Michael Wyatt,UW-2150,20
underwriter_1,Adam Rogers,UW-5121,29
underwriter_2,David Martinez,UW-8111,18
underwriter_3,Claudia Lewis,UW-4479,16
underwriter_4,Ian Martin,UW-6141,16
underwriter_5,Diane Chapman,UW-5402,27
underwriter_6,Stephen Montgomery,UW-1439,24
underwriter_7,Mark Velez,UW-8329,19
underwriter_8,April Stone,UW-5024,13
underwriter_9,Benjamin Hammond,UW-6547,23
underwriter_10,Daniel Carlson,UW-7145,26
underwriter_11,Joseph Williamson,UW-7614,14
underwriter_12,Sherry Fuller,UW-3143,16
underwriter_13,Jaclyn Tran,UW-5417,17
underwriter_14,Heather Saunders,UW-4528,4
underwriter_15,Louis King,UW-7401,13
underwriter_16,Erica Lane,UW-4310,19
underwriter_17,Emily Rowland,UW-5786,28
underwriter_18,Sara Mills,UW-8841,21
underwriter_19,Andrew Hall,UW-2913,1
