id,name,licenseID,experienceYears
underwriter_0,David Reed,UW-1545,29
underwriter_1,Michael Frazier,UW-2919,21
underwriter_2,Leonard Coleman,UW-8508,11
underwriter_3,Joseph Johnson,UW-6096,13
underwriter_4,Robert Lewis,UW-4248,22
underwriter_5,Heather Davis,UW-3137,23
underwriter_6,Gene Lynch,UW-3485,24
underwriter_7,Jennifer Hood,UW-4223,19
underwriter_8,Krista Welch,UW-4176,24
underwriter_9,Michael Welch,UW-6347,22
underwriter_10,Courtney Pierce,UW-1365,22
underwriter_11,Derrick Dominguez,UW-7532,14
underwriter_12,Jessica Scott,UW-3414,27
underwriter_13,Teresa Brown,UW-5401,12
underwriter_14,Elaine Fletcher,UW-1296,18
underwriter_15,Joshua Gallagher,UW-1917,27
underwriter_16,Angela Hunt,UW-5790,10
underwriter_17,Patricia Gutierrez,UW-9153,19
underwriter_18,Bobby Gutierrez,UW-1823,11
underwriter_19,Mackenzie Oneill,UW-7120,5
