id,name,agencyName,agentLicense
agent_0,Stephanie Hawkins,Burch-Ward Agency,AG-2662
agent_1,Christopher Taylor,"Lawson, Johnson and Rodriguez Agency",AG-7366
agent_2,Gregory Dorsey,Harris Inc Agency,AG-4806
agent_3,Heather Sosa,Richardson PLC Agency,AG-3899
agent_4,Joseph James,Ellis Ltd Agency,AG-9865
agent_5,Crystal Guzman,Robles Group Agency,AG-2044
agent_6,Martha Newman,Lopez-Guerra Agency,AG-1580
agent_7,James Rose,Ellis Ltd Agency,AG-4081
agent_8,Bryan Mcgee,"Burgess, Chang and Price Agency",AG-8636
agent_9,Jessica Matthews,"Schneider, Baker and Torres Agency",AG-1606
agent_10,Kayla Romero,Garcia Group Agency,AG-2710
agent_11,Jordan Welch,Ramirez-Davis Agency,AG-1215
agent_12,Stephanie Perkins,"Dyer, Tran and Bonilla Agency",AG-5703
agent_13,Cassandra Roberts,Lewis and Sons Agency,AG-1135
agent_14,Mark Lee,"Middleton, Marks and Carter Agency",AG-5476
agent_15,Troy Hernandez,Riley LLC Agency,AG-7149
agent_16,Lisa Mcclain,Mercado PLC Agency,AG-9955
agent_17,Samuel Joyce,Jones-Rivera Agency,AG-3842
agent_18,Karen Flores,Wilson-Thompson Agency,AG-1783
agent_19,Brad Burgess,Hart Ltd Agency,AG-2481
